,Model Name,Training Window,Epochs,Hidden Layers,Losses,Batches
0,tw12_e500_b10_h150,12,500,150,"[3.35792848e-05 3.94559413e-01 8.68143129e-02 6.65210422e-01
 1.50057249e-02 1.07383103e-01 4.16141703e-01 8.36539089e-01
 6.54261210e-01 2.61812739e-01 6.14137577e-02 9.52018446e-03
 1.38420262e-01 1.10684441e-01 4.43022212e-02 1.21756617e-01
 6.23543829e-01 9.79527247e-01 5.32383825e-01 9.48433104e-02
 1.16578683e-02 1.26739442e-03 1.38542566e-01 5.89290909e-02
 3.25564673e-02 1.46344645e-02 1.22800984e-01 4.43840712e-01
 3.95336911e-01 4.56233090e-02 1.44223292e-03 7.73702012e-03
 7.35533945e-03 8.32017261e-01 4.06773758e-03 8.14117449e-04
 4.03716790e-02 8.58113937e-02 4.41807432e-03 1.85611523e-02
 2.96490097e-04 6.70495436e-04 4.94777536e-03 9.62524083e-02
 8.15031908e-02 4.82398140e-01 2.03942520e-01 3.10602508e-01
 1.12945710e-01 2.37126174e-02 9.58937377e-02 5.07807478e-01
 2.51304087e-02 4.20084511e-01 6.70729976e-02 4.14317505e-01
 2.19598094e-01 6.85392195e-01 2.73802740e-01 1.43459572e-02
 1.21542928e-02 9.31140685e-06 1.02275407e-01 2.83850217e-01
 3.85091816e-04 1.62767295e-01 7.52400897e-02 3.11722459e-01
 2.40354010e-01 5.03005725e-02 2.38030930e-02 3.83080516e-02
 6.26350873e-03 3.32924967e-03 2.41142194e-02 1.21535848e-02
 1.30942147e-01 6.33284040e-02 2.78766620e-02 1.04684478e-03
 1.43315145e-03 1.32751563e-04 6.28096114e-04 4.72416271e-03
 4.19813462e-04 5.92965424e-02 2.10706173e-03 6.28675600e-02
 9.32667168e-02 4.49917546e-03 3.96623056e-02 1.34336475e-01
 5.17226532e-02 2.46852199e-03 2.60698071e-02 4.62326489e-05
 1.04577280e-03 2.06040178e-02 1.11242072e-04 1.42604787e-02
 9.65481975e-03 3.70698517e-02 1.74747606e-01 2.14553325e-01
 1.83438765e-03 6.38113997e-03 4.65149930e-02 1.08381048e-03
 7.74598863e-03 1.39565363e-03 1.02623430e-01 4.79343081e-02
 4.12916871e-02 6.16065461e-02 1.96824853e-01 1.85813560e-01
 3.63011806e-03 3.23669883e-03 1.29940740e-02 2.74195779e-02
 6.39306225e-02 3.06665016e-02 9.66818009e-02 1.89001277e-01
 1.17983663e-01 1.63898363e-01 3.15379195e-01 1.27318802e-01
 2.67882179e-03 1.36429177e-02 4.74574635e-02 2.13497645e-02]",10
1,tw12_e500_b10_h200,12,500,200,"[2.35303073e-03 1.64774312e-01 1.60989632e-01 2.03263420e-01
 4.79902362e-04 2.01022704e-01 6.67964906e-01 6.98198230e-01
 8.60204689e-01 5.18603909e-01 3.47630370e-01 3.17286358e-03
 8.73165045e-02 3.32342358e-04 6.06935642e-01 3.12217586e-03
 5.75227257e-04 2.79906319e-01 5.35552271e-01 4.47274151e-01
 2.44733972e-01 2.61071996e-02 5.66428942e-03 1.52498567e-01
 7.71005873e-03 1.29097579e-02 2.67812562e-02 1.02113179e-01
 2.88333041e-01 2.97663268e-01 1.79108415e-01 3.17532986e-02
 1.45209894e-02 1.64195545e-01 5.14948815e-02 1.17731013e-01
 2.93571921e-01 3.74960476e-01 2.79463907e-01 4.65616055e-01
 4.44442564e-01 1.21555493e-01 1.05614338e-03 7.24778168e-02
 3.52325249e-01 2.67253348e-04 6.67237431e-02 1.87111606e-01
 1.22360367e-01 1.08897039e-01 7.19263857e-02 8.68372335e-03
 1.25936709e-03 3.21093493e-01 3.72573421e-02 2.28420712e-01
 1.76509257e-02 1.10817044e-03 1.07553529e-01 7.09870679e-02
 3.48762284e-04 9.03085002e-03 4.29735335e-03 2.68317739e-01
 1.12796904e-03 1.60886047e-01 1.91053402e-01 8.16708086e-03
 1.20994031e-01 1.35650953e-01 6.58380655e-02 1.20024299e-02
 1.65793090e-02 2.95392536e-02 4.17007314e-02 7.22213666e-03
 1.93789436e-01 2.12233319e-03 2.75849069e-02 5.94162302e-02
 6.27977260e-02 4.93579593e-03 1.09020754e-05 7.73402150e-03
 1.41857836e-02 4.38347995e-02 2.83404891e-03 5.55025391e-02
 8.81543961e-02 1.21742939e-02 1.22782841e-04 1.85032983e-02
 4.12363748e-02 9.15457869e-03 2.57765938e-02 3.96017025e-03
 1.25854896e-02 4.43041596e-02 1.67988007e-05 7.39594732e-03
 1.53766776e-04 9.77936171e-02 1.99806273e-01 1.60296055e-01
 1.17663615e-03 1.40406853e-02 7.43533257e-02 7.32118767e-03
 1.04251759e-03 7.71865639e-04 1.41541143e-01 3.97796848e-02
 1.77876436e-02 3.57700811e-02 1.27635935e-01 9.79703019e-02
 1.95113828e-03 4.53247049e-03 8.91441785e-03 3.31484655e-02
 5.05274488e-02 2.19784332e-02 6.54988125e-02 7.96510756e-02
 2.03034424e-02 6.70811561e-02 2.17731191e-01 7.84843210e-02
 2.29316167e-03 2.34167696e-04 1.45675893e-02 4.05192914e-02]",10
2,tw12_e500_b10_h250,12,500,250,"[7.11891982e-04 1.23018433e-01 5.73558467e-02 4.60076650e-01
 1.57431352e-05 5.10261488e-06 1.17109149e-01 2.96473882e-01
 2.70455215e-01 1.06401390e-01 8.12456145e-03 5.94700865e-02
 3.33176418e-03 3.95110873e-01 1.20150754e-02 5.82960063e-03
 4.46049600e-03 5.90128737e-03 1.85465140e-02 1.80559242e-01
 2.40806774e-02 2.76542731e-03 3.81599235e-01 1.50005641e-03
 1.04082558e-02 2.66213438e-01 3.07501185e-01 4.82256772e-01
 4.31079477e-01 1.20700910e-01 8.29046593e-03 2.38666886e-02
 4.57560682e-01 1.67769344e-03 1.72729852e-01 4.49041848e-02
 1.63134799e-01 2.02418941e-01 7.32269842e-02 6.86659321e-02
 4.18300639e-03 6.29012149e-04 1.87074387e-01 1.27542013e-02
 2.38583967e-01 3.56721519e-02 2.74671835e-02 3.02172324e-02
 2.04321630e-02 4.67286756e-04 1.86629031e-03 5.47218992e-03
 1.30262803e-01 2.50787405e-04 1.30714849e-01 5.44405354e-03
 9.94114513e-02 1.34859896e-01 7.43994991e-02 3.77514349e-03
 1.08659917e-03 2.73615665e-02 2.90210132e-03 7.39990459e-02
 1.10870092e-01 8.14193216e-02 3.15414169e-02 7.69851501e-02
 1.34634243e-02 5.23437521e-03 2.97918200e-02 1.69076557e-03
 1.00150397e-02 4.06723299e-02 2.53235579e-03 7.84864125e-02
 1.29591148e-01 1.97283019e-02 3.63839946e-04 1.71700043e-02
 2.79197169e-02 7.01166947e-04 4.14591329e-02 3.11751324e-03
 1.11255495e-02 4.10746399e-02 9.87631843e-04 2.28501018e-02
 1.81411020e-02 4.32505117e-02 1.20397846e-01 9.92536942e-02
 3.47906262e-03 1.06344465e-02 5.48756245e-02 5.17064486e-03
 1.09582436e-02 1.79002638e-02 3.75040618e-02 3.66469039e-03
 2.84408021e-03 6.18755438e-02 8.37469848e-02 4.05506934e-02
 3.60331283e-02 1.32270032e-02 4.98173274e-02 5.43185275e-03
 3.46392163e-04 4.89634264e-03 1.85929326e-01 8.38512719e-03
 8.46092121e-06 5.86409746e-03 5.48194364e-02 2.89435323e-02
 5.44707309e-03 9.24888973e-03 7.73532030e-05 4.33426084e-03
 4.98225239e-03 3.45551906e-02 1.41436059e-01 6.75297954e-02
 1.54243125e-05 1.14442030e-02 1.21046543e-01 4.64181327e-02
 7.55009886e-04 3.88429762e-02 4.56360392e-03 5.35243250e-03]",10
3,tw12_e500_b4_h150,12,500,150,"[4.54412312e-03 8.77813596e-04 2.83232123e-03 2.38155827e-04
 1.66710482e-03 3.60427879e-03 2.27312857e-03 3.10585092e-04
 5.57791709e-03 2.13343216e-02 2.26786594e-02 3.12858182e-04
 1.22749820e-04 1.21179222e-04 1.10409689e-02 1.91554292e-03
 1.00894984e-03 7.70926322e-05 1.26306086e-03 1.26544721e-03
 9.45714219e-03 2.05796701e-02 1.86644340e-02 8.94941401e-06
 1.82331415e-04 4.58063523e-04 2.02176805e-03 1.86162483e-03
 7.92585758e-05 8.90386470e-03 8.69223884e-04 9.07527720e-04
 2.16670469e-02 1.69639231e-02 2.70661327e-02 1.56090915e-05
 1.33264866e-03 6.29794220e-04 1.78033910e-02 4.36110569e-05
 2.77673943e-04 1.49282793e-03 2.90094227e-03 8.30296387e-05
 2.71841098e-02 3.16503139e-02 5.03286994e-02 5.98164174e-04
 1.57781563e-03 7.57724951e-03 2.32758163e-02 4.94802450e-04
 1.11660137e-03 1.23790522e-02 2.25376534e-02 3.14687908e-04
 2.28473280e-02 3.90274739e-02 5.10584946e-02 4.14911671e-04
 1.14980566e-05 3.45839125e-03 1.12834813e-02 1.52417816e-04
 8.06940413e-05 2.90768799e-02 4.47970504e-02 6.52375416e-04
 2.20378201e-02 4.15937498e-02 7.42646926e-02 2.10398452e-04
 6.11488731e-04 3.02849970e-03 1.55386296e-02 3.28129590e-05
 4.16270155e-04 5.17029926e-02 3.93041435e-02 8.48963926e-06
 4.33381450e-02 5.33149076e-02 7.10639433e-02 8.78541323e-06
 2.03923687e-04 6.60677640e-03 3.38796983e-02 7.34094119e-05
 4.73315548e-04 8.48202728e-02 5.63573499e-02 3.23012868e-04
 7.89757583e-02 6.25015665e-02 8.08903597e-02 4.08623220e-04
 1.45610429e-03 1.48328194e-02 2.27893684e-02 6.96233589e-04
 3.60340258e-03 1.06534981e-01 8.44215501e-02 3.38435115e-03
 1.86389804e-01 3.23209595e-02 1.00652639e-01 1.54179078e-03
 4.23745314e-04 1.13918454e-02 4.71437002e-02 2.17668126e-04
 4.00249929e-03 7.28041537e-02 1.40299859e-01 6.70756128e-03
 1.92020099e-01 6.83962324e-02 9.31207580e-02 8.45003670e-04
 3.17752371e-03 5.68264488e-02 1.86585645e-03 2.95665403e-02
 1.45439611e-02 1.80599503e-02 2.37487237e-01 7.00792150e-02
 2.53978296e-02 1.08341816e-01 3.32786306e-01 5.77784702e-02]",4
4,tw12_e500_b4_h200,12,500,200,"[6.53282050e-03 3.68668275e-05 9.62920040e-04 1.36827236e-03
 5.37823960e-03 3.59402462e-04 5.02169603e-04 1.23095044e-03
 9.17377702e-03 3.06626710e-02 3.46087911e-02 3.00489745e-04
 9.81280677e-04 4.54240360e-05 6.88293680e-03 4.36017680e-03
 1.84904978e-05 2.07777274e-03 9.44117399e-05 2.95178034e-03
 1.36338060e-02 2.87023299e-02 2.82108179e-02 7.71900414e-04
 1.15641611e-03 2.42255556e-06 4.89848260e-04 4.86105710e-03
 2.02454019e-03 3.70641134e-03 9.48930485e-05 1.58408835e-04
 2.78872766e-02 2.62240741e-02 3.85681787e-02 1.04323195e-03
 2.80822642e-03 1.76955152e-03 1.25499662e-02 1.29318994e-04
 1.63168312e-03 1.11680585e-08 5.52422088e-04 1.40560252e-04
 3.34831750e-02 4.13777497e-02 6.28933221e-02 2.61800815e-03
 3.00367085e-03 1.06859013e-02 1.64410083e-02 1.65023130e-03
 9.36793792e-05 5.62902672e-03 1.51711654e-02 1.33904584e-03
 2.99177590e-02 5.23635143e-02 6.38068876e-02 1.97027569e-03
 1.99366338e-04 4.82844393e-03 8.05204420e-03 2.14863214e-05
 1.21135921e-04 1.90707864e-02 3.54255803e-02 1.47945626e-03
 2.84249288e-02 5.61094609e-02 8.78084427e-02 1.06606542e-04
 9.86873237e-04 4.00998993e-03 1.29413465e-02 2.16798847e-04
 1.24133883e-04 4.07496567e-02 3.28376798e-02 1.38044238e-04
 4.78980210e-02 5.91530335e-02 7.87040903e-02 7.66240678e-04
 4.56589382e-04 7.30104694e-03 3.18703453e-02 1.19776222e-04
 7.03989522e-04 7.44489294e-02 4.94789059e-02 8.28298904e-05
 6.93607860e-02 4.14314559e-02 7.37106655e-02 2.34253221e-03
 2.13786596e-03 1.31562987e-02 2.50107041e-02 5.94147483e-04
 4.97635985e-03 9.85078115e-02 7.73613835e-02 2.45810920e-03
 1.58008519e-01 8.74308605e-03 8.41911395e-02 7.08302162e-03
 7.72554779e-05 8.37431152e-03 5.99887993e-02 1.21251475e-05
 9.57287480e-03 8.20735536e-02 1.37192592e-01 3.34573332e-03
 1.51124513e-01 8.43163513e-03 6.99448878e-02 1.13881408e-02
 5.22196951e-03 2.97466499e-02 2.89413077e-02 5.57756959e-02
 2.02109809e-03 1.00034627e-01 3.04949778e-01 2.62296341e-02
 6.57858081e-03 6.97185660e-02 7.73313028e-01 1.15616929e+00]",4
5,tw12_e500_b4_h250,12,500,250,"[3.60666890e-04 1.39179592e-02 1.75720153e-02 3.33581828e-03
 2.06929507e-04 1.07196066e-02 1.06185150e-02 1.99076686e-03
 4.90890983e-04 1.05889801e-02 1.13157757e-02 5.76628810e-03
 5.15040424e-03 9.57523390e-03 3.08528180e-02 2.36642349e-04
 5.09105758e-03 4.17144987e-04 5.94719196e-03 1.16364733e-04
 2.46166259e-03 1.04366609e-02 8.63560068e-03 3.37103170e-03
 3.46807949e-03 9.01615155e-03 1.09074093e-02 1.55681434e-05
 5.80304743e-04 1.55822332e-02 5.42568381e-03 5.48670142e-03
 1.27535214e-02 1.08347478e-02 1.84376265e-02 1.89029607e-03
 7.84150051e-04 1.76829307e-03 3.50154635e-02 2.78050885e-03
 2.56625122e-04 2.82771399e-03 5.45898350e-03 1.41398716e-03
 1.86838847e-02 2.35049433e-02 3.81862147e-02 3.54849595e-04
 4.89774388e-04 4.50292135e-04 4.21582485e-02 6.35978088e-04
 4.95611379e-03 1.64967245e-02 2.98773587e-02 3.19405058e-05
 1.85368069e-02 3.47956290e-02 4.18310583e-02 2.40658806e-04
 2.54385523e-03 2.26629636e-05 2.18338554e-02 2.00761267e-03
 1.22768820e-03 3.43673841e-02 5.25508450e-02 1.40421074e-04
 2.08843387e-02 4.19351830e-02 6.66711515e-02 1.39305068e-03
 1.00806090e-04 6.82208062e-04 2.21941899e-02 2.53667014e-04
 1.56045704e-03 5.76774248e-02 4.41582721e-02 4.88328226e-07
 4.25043247e-02 5.39260876e-02 6.78209330e-02 3.37804322e-05
 1.37122426e-06 5.37263282e-03 3.79057809e-02 2.10791220e-05
 1.08703675e-03 8.80864203e-02 5.76910711e-02 1.13257705e-04
 7.72525599e-02 5.52162614e-02 8.37644762e-02 9.49131595e-04
 1.97789378e-03 1.75697862e-02 2.14019705e-02 3.65512874e-04
 4.19250858e-03 1.03800730e-01 7.71468176e-02 5.04054690e-04
 1.91488102e-01 1.24306965e-02 9.93041810e-02 2.80116229e-03
 1.19096485e-04 1.36552432e-02 4.31544858e-02 1.65959597e-04
 3.55255026e-03 6.12726345e-02 1.17460125e-01 1.24320608e-05
 2.19773532e-01 2.16274433e-02 1.24218507e-01 4.41501037e-03
 5.08848278e-03 6.76708164e-02 9.45724193e-04 5.09950919e-02
 5.20770298e-03 2.46404674e-03 1.41576822e-01 2.08722753e-03
 2.76947775e-02 7.10452826e-02 5.47534285e-01 3.66123115e-01]",4
6,tw12_e600_b10_h150,12,600,150,"[7.30465763e-04 7.83209564e-01 2.65900440e-02 7.49207605e-01
 4.07750801e-01 6.14757189e-03 5.11213842e-02 8.31060680e-01
 4.33323887e-01 5.29861093e-02 1.29836413e-02 1.12050776e-01
 2.22090099e-01 4.98082464e-02 3.75771680e-02 8.27961524e-03
 1.79557734e-03 2.87913831e-02 3.48266860e-01 6.77657306e-02
 1.49357129e-02 5.47542554e-02 6.95623679e-01 1.17766101e-02
 1.59423508e-02 1.75498769e-01 6.74582522e-01 3.61974546e-01
 2.62205369e-03 1.63262789e-02 2.57165146e-03 4.49004499e-01
 3.04352498e-03 2.73935621e-01 4.45269941e-01 2.48370896e-01
 6.22898322e-02 2.52350692e-02 1.46687500e-01 1.51577223e-02
 6.15459473e-01 3.08142786e-03 4.22477615e-01 1.85913629e-01
 3.52476778e-01 6.91529390e-02 5.83514266e-02 4.00993821e-02
 1.68433593e-01 9.36115478e-03 1.02653925e-01 9.47978841e-02
 5.01234382e-01 3.89971895e-01 1.70653325e-01 1.78343059e-02
 2.25259773e-03 8.68591190e-03 1.87595578e-01 3.26295327e-02
 4.26878756e-03 3.25608015e-02 1.02144370e-01 2.88059041e-01
 2.17857318e-01 1.73388948e-03 8.69444226e-02 3.82107177e-02
 1.19886294e-02 1.61781800e-03 1.24735496e-01 4.92624459e-03
 2.94405970e-02 1.95066348e-02 2.93149582e-02 1.44729959e-02
 6.21054502e-03 6.44461577e-02 4.49918380e-02 6.33608628e-03
 1.88737982e-02 5.30531937e-02 5.97040940e-02 2.36773485e-04
 4.36993605e-04 2.23863485e-02 6.53466306e-03 1.52764652e-02
 2.21445184e-02 2.54180380e-02 3.36519260e-03 7.60791296e-05
 8.65325952e-03 6.41406459e-05 2.38180227e-02 4.26974067e-04
 1.18376316e-02 4.46032185e-03 3.95076145e-02 1.91038542e-02
 2.46104340e-02 9.31818315e-04 1.72352770e-02 4.02029675e-02
 3.47028522e-04 3.18828728e-03 2.93691298e-02 2.69452713e-04
 3.03876583e-03 9.72262206e-04 5.42873625e-02 2.95810334e-03
 7.00793540e-03 3.77588330e-03 1.29555919e-01 1.47663122e-01
 3.21202038e-03 4.60469423e-04 1.24344922e-02 4.20753306e-03
 3.12072560e-03 1.31112057e-04 3.10099507e-02 5.15299260e-02
 6.07887447e-03 6.73093635e-02 2.77665783e-01 1.17023822e-01
 2.40279846e-04 4.82954796e-04 5.01735832e-02 1.21842675e-05]",10
7,tw12_e600_b10_h200,12,600,200,"[9.37658190e-03 1.97673017e-01 5.04822303e-02 2.05615638e-02
 8.60736210e-02 4.67262791e-02 1.93452327e-02 4.87875157e-03
 9.81411156e-03 1.06655384e-01 2.19987397e-02 5.35371026e-03
 7.23907903e-02 6.33937554e-02 1.68977672e-02 3.84106417e-02
 6.59333199e-02 1.34805059e-01 1.67210175e-02 2.39612401e-02
 1.99324969e-01 1.86172770e-03 7.40515196e-03 1.34060077e-01
 4.56426500e-02 2.77097179e-02 7.32239036e-02 5.69989635e-02
 1.55680253e-02 3.55371561e-03 3.22921408e-03 3.50410235e-05
 2.01116990e-02 1.35659920e-02 8.38479738e-02 1.73917879e-03
 4.76913752e-02 5.78333566e-04 3.43260594e-02 1.15694703e-01
 5.98507529e-02 2.50235519e-04 1.42027992e-01 2.58196293e-03
 8.03926632e-03 3.99234995e-02 5.76035380e-02 2.12527721e-02
 1.41764853e-02 8.05380931e-03 1.30608755e-02 1.08890470e-02
 5.20075005e-03 2.09127123e-02 6.20508800e-03 1.23671313e-02
 4.27877066e-03 3.93220609e-03 1.41697015e-02 3.95715696e-03
 1.31267611e-02 2.13890680e-03 2.30235126e-02 2.57503559e-02
 5.50275295e-02 5.67668766e-02 1.43763082e-01 1.76835658e-01
 3.78427423e-02 1.32297322e-04 2.79240974e-02 2.09140687e-03
 2.17481209e-02 5.31550574e-02 1.37639656e-01 6.24270131e-02
 3.97183067e-02 1.48723786e-01 2.16311029e-01 1.75181296e-01
 1.88396723e-02 1.59775612e-02 9.90932198e-02 3.11575393e-02
 3.90575828e-03 2.99355252e-02 8.16178064e-07 1.46032496e-02
 2.82018316e-02 2.91297259e-03 4.32297411e-02 3.99052800e-02
 3.92728329e-03 7.30879451e-02 1.37076821e-01 2.48875106e-02
 4.86397485e-03 9.41018872e-03 7.10852561e-03 2.94090753e-03
 2.17300436e-02 2.87250778e-03 6.70136027e-02 9.94658459e-02
 6.26570008e-03 5.19632322e-02 1.20791648e-01 2.11384894e-02
 7.38140816e-04 2.79548332e-06 5.13205839e-02 2.95566520e-03
 2.14418716e-04 1.21362156e-02 1.73591359e-01 2.34912793e-01
 1.38688080e-02 6.53643901e-03 3.87257659e-02 2.84338133e-03
 2.63874780e-02 7.91011324e-03 3.59654068e-02 8.36598610e-02
 5.21580481e-02 1.47058589e-01 4.56948278e-01 3.48771415e-01
 3.80256481e-02 1.29389682e-03 2.82545314e-02 8.25217848e-03]",10
8,tw12_e600_b10_h250,12,600,250,"[3.09498521e-03 2.25849226e-01 3.89286608e-02 1.15366236e-01
 4.41420049e-01 2.96693476e-01 2.47280820e-01 1.25409197e-01
 1.33069108e-05 6.34082574e-03 5.94546217e-02 3.48192596e-02
 2.81941216e-04 1.95888650e-03 4.51037892e-03 1.23983151e-01
 1.20989688e-01 6.70487666e-03 1.84303755e-02 5.42125095e-02
 5.21606813e-05 8.11818012e-03 9.22951201e-02 8.79634186e-02
 8.66400267e-02 9.53711570e-03 1.72861697e-02 1.43978747e-01
 1.33708554e-04 5.81417914e-02 1.31712128e-03 3.04193524e-02
 1.92578258e-01 1.70003349e-01 8.39753276e-02 1.21729688e-04
 4.70638511e-03 2.86867406e-02 9.26244429e-03 1.48051879e-03
 1.21772757e-01 1.33290608e-01 1.03897399e-01 2.58533367e-02
 1.77305600e-03 1.85500080e-03 1.91448816e-02 2.93486503e-04
 1.20760182e-02 8.16669281e-02 2.56583206e-02 1.77174248e-01
 1.32165314e-01 4.87066985e-03 3.54739626e-02 3.52805106e-03
 8.88175802e-03 1.93819095e-02 4.96610576e-02 5.06919573e-03
 4.93335490e-03 7.27058960e-03 1.37362072e-02 4.39546637e-04
 7.34664158e-03 9.08280932e-03 2.49454842e-02 1.69742502e-03
 1.17433913e-02 1.91592592e-02 3.94171384e-02 3.37102824e-03
 1.17602183e-03 1.81798920e-05 2.10517391e-02 8.93925140e-03
 2.45995429e-02 2.44712326e-04 4.17612227e-03 4.27110403e-03
 4.84271320e-03 2.11019170e-03 3.86353632e-02 6.81194949e-04
 4.42160997e-06 5.40158520e-03 2.63285813e-02 8.58433590e-03
 1.76859568e-02 2.48964772e-02 7.11326732e-02 6.20386206e-02
 7.98498328e-04 1.30484579e-02 5.57050442e-02 1.12242727e-03
 2.66693817e-03 3.82462028e-03 6.23897534e-02 5.94160014e-04
 3.73272043e-06 3.67052764e-02 4.33312734e-02 2.29624150e-02
 2.67196982e-02 1.57431212e-03 5.00817829e-02 8.09533628e-03
 6.36946143e-05 1.39225937e-03 1.57541035e-01 3.31805086e-03
 8.20065361e-04 9.01538528e-04 5.44046691e-02 6.59268460e-02
 2.08924584e-03 8.52393892e-04 4.48080518e-02 5.26028035e-04
 9.46154218e-05 1.40998253e-03 8.95937722e-02 7.30490773e-02
 9.02725468e-04 2.31513562e-02 1.55854104e-01 5.71849340e-02
 2.37383028e-03 4.03141573e-03 1.19713717e-01 2.45068555e-03]",10
9,tw12_e600_b4_h150,12,600,150,"[1.40628755e-03 6.74491836e-05 6.19825133e-03 2.59954870e-04
 1.76233277e-05 1.57364052e-02 2.93422881e-03 5.73427432e-04
 4.42471685e-03 9.38419052e-03 1.62922914e-02 3.77936591e-04
 1.03702726e-06 7.80572274e-04 1.15357075e-02 9.07892424e-05
 4.68634554e-03 1.72331151e-03 7.74303484e-04 6.76549903e-04
 9.15711454e-03 1.53010615e-02 1.30004494e-02 2.25486207e-04
 8.70895840e-05 2.12437708e-04 1.83735527e-03 2.73975651e-06
 1.88398336e-03 1.63466274e-02 1.39066686e-03 3.00494911e-04
 1.81843525e-02 9.93238473e-03 2.07149579e-02 2.68441469e-05
 8.44511671e-04 3.24946675e-03 1.39325892e-02 1.20794376e-04
 8.40390753e-04 1.47545420e-02 1.12753785e-02 4.45163116e-05
 2.86893250e-02 3.35125531e-02 4.40022376e-02 2.80469922e-04
 7.41006865e-04 1.50503698e-02 1.63314124e-02 1.88830274e-04
 3.30930152e-05 3.43060852e-02 5.14768464e-02 8.41019830e-06
 2.47836726e-02 3.95107634e-02 5.26115803e-02 3.82427261e-04
 1.05327863e-04 6.71761138e-03 5.17492693e-03 6.74765993e-05
 1.20187213e-04 4.22380188e-02 7.03658267e-02 1.27848936e-05
 2.00377959e-02 3.76681493e-02 8.91680044e-02 1.39687471e-04
 2.07963123e-04 5.01111338e-03 9.83712721e-03 1.31936955e-04
 1.07825462e-04 5.28527676e-02 5.08403692e-02 8.48425906e-07
 5.22445895e-02 6.49383436e-02 8.54826168e-02 4.77703410e-04
 2.44982402e-05 8.37172629e-03 2.47919020e-02 1.98845847e-05
 1.63553419e-04 7.19585400e-02 5.90972707e-02 6.45009612e-05
 1.26553213e-01 1.34651511e-01 1.08445537e-01 7.52758192e-05
 8.51273581e-05 1.72448640e-02 1.56157158e-02 2.80965879e-04
 1.57965283e-03 9.49806647e-02 8.74092164e-02 8.95212454e-04
 2.80588400e-01 1.31844789e-01 1.29485602e-01 7.46568729e-04
 3.60157804e-03 1.25096235e-02 3.23060553e-02 3.67232901e-05
 2.97597639e-03 5.24692046e-02 1.07633513e-01 2.71826235e-03
 2.54084355e-01 2.37633568e-01 1.89035199e-01 4.79006390e-04
 1.07378161e-03 8.56132418e-02 1.22902909e-02 6.94163007e-03
 2.96815335e-03 1.24051550e-02 7.07772643e-02 6.44108057e-03
 2.40207968e-01 1.81334037e-01 3.24307396e-01 1.53618897e-02]",4
